feature,mean_abs_shap
myear,0.7432724544217476
citizen_clean,0.28488743989536036
exp_totmembers,0.24613914220508634
peak_heightm,0.23187009099389438
peak_prev_death_rate,0.2180037151146078
exp_rope,0.21422086912040708
sex,0.19882859067982375
age_clean,0.19750015661926817
residence_clean,0.16148675609897145
exp_tothired,0.16144162413402077
ref_n_refs,0.158127370659441
exp_nation,0.15277961372985902
occupation_group,0.15014107305241278
exp_camps,0.1382953401251929
ref_pubyear_max,0.13708638178948404
bconly,0.12526880842138463
exp_route1,0.1208812731323643
peak_prev_summit_rate,0.11126658777861123
occupation_raw_clean,0.10972244974249942
status,0.10811803973919955
ref_pubyear_min,0.10618595671361356
ref_n_unique_types,0.10233698365276292
exp_host,0.08511462279534354
peak_region,0.08321571682722
occupation_missing_flag,0.06975970241529517
hired,0.06962240685941773
mseason,0.06898589258910937
peakid,0.05667685825179901
ref_n_languages,0.05374427312936712
peak_pkname,0.05357095225605611
peak_himal,0.04626563570054779
peak_phost,0.04387232564313107
exp_nohired,0.04164958433323863
peak_restrict,0.039592753858320354
nottobc,0.03336372060567404
leader,0.03327124227422815
deputy,0.026232282438315664
age_missing_flag,0.02583348700075134
tibetan,0.02282535866772313
peak_pstatus,0.014756652135536619
exp_ski,0.013689905532672363
exp_traverse,0.011801953790749999
sherpa,0.011447743514688306
exp_parapente,0.00427189898171503
peak_trekking,0.0023171028799746246
age_out_of_range_flag,0.0015295919459332552
peak_open,0.0008869570146946078
support,0.0005273675773157492
disabled,0.0002547683596135607
