expid,peakid,myear,mseason,sex,status,citizen_clean,occupation_raw_clean,age_raw
AMAD00110,AMAD,1930,Spring,M,H-A Worker,Nepal,unknown,-43.0
AMAD84402,AMAD,1954,Winter,M,H-A Worker,Nepal,unknown,-4.0
AMAD00313,AMAD,1955,Autumn,M,H-A Worker,Nepal,unknown,2.0
AMAD00401,AMAD,1955,Winter,M,H-A Worker,Nepal,unknown,-14.0
AMAD97401,AMAD,1955,Winter,M,H-A Worker,Nepal,unknown,-5.0
AMAD88303,AMAD,1956,Autumn,F,Climber,Switzerland,secretary,1.0
AMAD99404,AMAD,1956,Winter,M,Climber,USA,gauge technician,5.0
AMAD00112,AMAD,1957,Spring,M,H-A Worker,Nepal,unknown,-21.0
AMAD00112,AMAD,1957,Spring,M,H-A Worker,Nepal,unknown,-3.0
AMAD00324,AMAD,1959,Autumn,M,H-A Worker,Nepal,unknown,-6.0
AMAD98401,AMAD,1959,Winter,M,H-A Worker,Nepal,unknown,-1.0
AMAD99318,AMAD,1959,Autumn,M,H-A Worker,Nepal,unknown,-3.0
AMAD99318,AMAD,1959,Autumn,M,H-A Worker,Nepal,unknown,-1.0
AMAD00110,AMAD,1960,Spring,M,H-A Worker,Nepal,unknown,-2.0
AMAD99308,AMAD,1960,Autumn,M,H-A Worker,Nepal,unknown,-14.0
AMAD99317,AMAD,1960,Autumn,M,H-A Worker,Nepal,unknown,-11.0
AMAD94103,AMAD,1963,Spring,F,Climber,Japan,designer of children s clothing,11.0
AMAD85102,AMAD,1965,Spring,M,Climber,Japan,worker plastics factory,2.0
AMAD98316,AMAD,1965,Autumn,M,H-A Worker,Nepal,unknown,2.0
AMAD99306,AMAD,1965,Autumn,M,Climber,USA,alpine guide,8.0
AMAD97104,AMAD,1969,Spring,M,Climber,USA,climbing equipment salesman,9.0
AMAD98101,AMAD,1969,Spring,M,Sirdar,Nepal,unknown,5.0
AMAD98332,AMAD,1969,Autumn,M,Leader,USA,alpine guide,1.0
AMAD99317,AMAD,1969,Autumn,M,Climber,Switzerland,carpenter,1.0
AMAD99321,AMAD,1969,Autumn,M,Leader,USA,alpine guide,1.0
AMAD00307,AMAD,1970,Autumn,M,H-A Worker,Nepal,unknown,1.0
AMAD94101,AMAD,1970,Spring,M,Sirdar,Nepal,unknown,10.0
AMAD00316,AMAD,1972,Autumn,M,Co-Leader,USA,alpine guide,-1.0
AMAD00316,AMAD,1972,Autumn,M,Co-Leader,USA,alpine guide,-4.0
AMAD00321,AMAD,1972,Autumn,M,Co-Leader,Canada,film production administrator,3.0
AMAD00322,AMAD,1972,Autumn,M,Leader,New Zealand,alpine guide,3.0
AMAD00322,AMAD,1972,Autumn,F,Climber,Canada,alpine guide,1.0
AMAD00322,AMAD,1972,Autumn,M,Climber,New Zealand,electrician,2.0
AMAD00322,AMAD,1972,Autumn,M,Climber,UK,alpine guide,10.0
AMAD00322,AMAD,1972,Autumn,M,H-A Worker,Nepal,unknown,2.0
AMAD00323,AMAD,1972,Autumn,M,Climber,USA,retail store owner,0.0
AMAD00323,AMAD,1972,Autumn,M,Leader,Canada,alpine guide,11.0
AMAD00323,AMAD,1972,Autumn,M,Climber,Norway,engineer,4.0
AMAD00324,AMAD,1972,Autumn,M,Leader,UK,hong kong police force,8.0
AMAD00325,AMAD,1972,Autumn,M,Climber,USA,graphic artist,10.0
AMAD00325,AMAD,1972,Autumn,M,Climber,USA,waiter and photographer,1.0
AMAD00325,AMAD,1972,Autumn,M,Climber,USA,architect,9.0
AMAD00325,AMAD,1972,Autumn,M,Climber,USA,architect,6.0
AMAD00325,AMAD,1972,Autumn,M,Climber,USA,does field testing for sports clothes manufacturer,10.0
AMAD00401,AMAD,1972,Winter,M,Climber,UK,geophysicist,0.0
AMAD00401,AMAD,1972,Winter,M,Climber,UK,engineer,9.0
AMAD00401,AMAD,1972,Winter,F,Climber,USA,web producer,4.0
AMAD00401,AMAD,1972,Winter,M,Climber,UK,crime-scene expert,3.0
AMAD00401,AMAD,1972,Winter,M,Leader,UK,alpine guide,4.0
AMAD00402,AMAD,1972,Winter,M,Climber,S Korea,alpine instructor,8.0
AMAD00402,AMAD,1972,Winter,M,Climber,S Korea,sports equipment salesman,3.0
AMAD00402,AMAD,1972,Winter,M,Climber,S Korea,mountain equipment shop keeper,5.0
AMAD00402,AMAD,1972,Winter,M,Climber,S Korea,sportswear salesman,4.0
AMAD00402,AMAD,1972,Winter,M,Climber,S Korea,just graduated from university - no job,-2.0
AMAD00402,AMAD,1972,Winter,M,H-A Worker,Nepal,unknown,1.0
AMAD00403,AMAD,1972,Winter,M,Climber,USA,broker,-2.0
AMAD00403,AMAD,1972,Winter,M,Climber,USA,marketing manager,-1.0
AMAD00403,AMAD,1972,Winter,M,Climber,UK,university lecturer in art and design,9.0
AMAD00403,AMAD,1972,Winter,M,Leader,Spain,alpine guide climbing instructor,5.0
AMAD00403,AMAD,1972,Winter,M,Climber,Australia,police officer,-2.0
AMAD00403,AMAD,1972,Winter,M,Climber,UK,army captain,0.0
AMAD00403,AMAD,1972,Winter,M,Climber,UK,management consultant,1.0
AMAD00403,AMAD,1972,Winter,M,Climber,USA,unknown,6.0
AMAD00403,AMAD,1972,Winter,M,H-A Worker,Nepal,unknown,-5.0
AMAD00403,AMAD,1972,Winter,M,H-A Worker,Nepal,unknown,-2.0
AMAD00301,AMAD,1973,Autumn,M,Climber,Austria,alpine guide,2.0
AMAD00301,AMAD,1973,Autumn,M,Climber,Italy,mechanic,4.0
AMAD00301,AMAD,1973,Autumn,M,Climber,Italy,tea company salesman,4.0
AMAD00302,AMAD,1973,Autumn,M,Climber,Italy,unskilled laborer,4.0
AMAD00302,AMAD,1973,Autumn,M,Leader,Italy,alpine guide,4.0
AMAD00302,AMAD,1973,Autumn,M,Climber,Italy,alpine guide,8.0
AMAD00302,AMAD,1973,Autumn,M,Climber,Italy,bank clerk,1.0
AMAD00302,AMAD,1973,Autumn,M,Exp Doctor,Italy,physician,9.0
AMAD00302,AMAD,1973,Autumn,M,Climber,Italy,engineer in factory producing telephone systems,11.0
AMAD00303,AMAD,1973,Autumn,F,Climber,Germany,teacher,-1.0
AMAD00303,AMAD,1973,Autumn,M,Leader,Germany,engineer,2.0
AMAD00304,AMAD,1973,Autumn,M,Leader,Germany,public relations manager for business magazine,9.0
AMAD00307,AMAD,1973,Autumn,M,Climber,Japan,import company staff,0.0
AMAD00307,AMAD,1973,Autumn,M,Leader,Japan,travel agency staff,7.0
AMAD00308,AMAD,1973,Autumn,M,Leader,France,mountain refuge guard,-5.0
AMAD00309,AMAD,1973,Autumn,M,Climber,Spain,plumber,-1.0
AMAD00309,AMAD,1973,Autumn,M,Climber,Spain,kindergarten,-1.0
AMAD00309,AMAD,1973,Autumn,M,Climber,Spain,mason,0.0
AMAD00309,AMAD,1973,Autumn,M,Leader,Spain,housepainter,4.0
AMAD00310,AMAD,1973,Autumn,M,Climber,Italy,alpine guide,12.0
AMAD00310,AMAD,1973,Autumn,M,Climber,Italy,alpine guide equipment,7.0
AMAD00310,AMAD,1973,Autumn,M,Climber,Italy,pilot,11.0
AMAD00311,AMAD,1973,Autumn,M,Leader,Austria,chemical company sales manager,4.0
AMAD00311,AMAD,1973,Autumn,M,Climber,Austria,engineer,5.0
AMAD00312,AMAD,1973,Autumn,M,Climber,Switzerland,alpine guide,7.0
AMAD00312,AMAD,1973,Autumn,M,Climber,Switzerland,telecommunicatons engineer,1.0
AMAD00312,AMAD,1973,Autumn,M,Leader,Switzerland,alpine guide ski instrucor paragliding taxi pilot,-3.0
AMAD00312,AMAD,1973,Autumn,M,Climber,Switzerland,alpine guide ski instructor,5.0
AMAD00313,AMAD,1973,Autumn,M,Climber,Switzerland,sculptor,8.0
AMAD00313,AMAD,1973,Autumn,M,Climber,Switzerland,mason bricklayer,-1.0
AMAD00313,AMAD,1973,Autumn,M,Climber,Switzerland,electrical engineer,7.0
AMAD00313,AMAD,1973,Autumn,M,Leader,Switzerland,alpine guide,2.0
