feature,rank_catboost,rank_logreg,rank_rf,mean_rank,n_top10,consensus_rank
bconly,1,3.0,4.0,2.6666666666666665,3,1
hired,6,19.0,2.0,9.0,2,2
peak_prev_summit_rate,7,20.0,1.0,9.333333333333334,2,3
myear,3,21.0,5.0,9.666666666666666,2,4
nottobc,5,4.0,20.0,9.666666666666666,2,5
peak_himal,15,5.0,10.0,10.0,2,6
exp_camps,4,23.0,7.0,11.333333333333334,2,7
exp_rope,10,1.0,27.0,12.666666666666666,2,8
peak_heightm,9,24.0,9.0,14.0,2,9
occupation_group,14,9.0,11.0,11.333333333333334,1,10
sherpa,36,13.0,3.0,17.333333333333332,1,11
peak_phost,30,8.0,23.0,20.333333333333332,1,12
peak_prev_death_rate,17,39.0,6.0,20.666666666666668,1,13
peak_restrict,27,2.0,33.0,20.666666666666668,1,14
peak_open,28,10.0,28.0,22.0,1,15
peak_pstatus,26,7.0,35.0,22.666666666666668,1,16
support,34,6.0,38.0,26.0,1,17
occupation_missing_flag,37,41.0,8.0,28.666666666666668,1,18
exp_route1,2,46.0,46.0,31.333333333333332,1,19
exp_nation,8,46.0,46.0,33.333333333333336,1,20
mseason,13,11.0,18.0,14.0,0,21
ref_pubyear_min,21,17.0,12.0,16.666666666666668,0,22
ref_pubyear_max,24,16.0,16.0,18.666666666666668,0,23
age_clean,19,25.0,13.0,19.0,0,24
age_missing_flag,20,22.0,17.0,19.666666666666668,0,25
exp_tothired,16,34.0,14.0,21.333333333333332,0,26
peak_region,29,26.0,15.0,23.333333333333332,0,27
exp_totmembers,23,36.0,19.0,26.0,0,28
exp_traverse,33,14.0,31.0,26.0,0,29
exp_host,25,28.0,26.0,26.333333333333332,0,30
ref_n_refs,18,40.0,22.0,26.666666666666668,0,31
ref_n_unique_types,22,37.0,21.0,26.666666666666668,0,32
tibetan,42,15.0,24.0,27.0,0,33
leader,32,27.0,29.0,29.333333333333332,0,34
exp_nohired,31,33.0,25.0,29.666666666666668,0,35
age_out_of_range_flag,45,12.0,34.0,30.333333333333332,0,36
exp_ski,38,18.0,36.0,30.666666666666668,0,37
peak_trekking,39,29.0,32.0,33.333333333333336,0,38
ref_n_languages,35,38.0,30.0,34.333333333333336,0,39
status,11,46.0,46.0,34.333333333333336,0,40
citizen_clean,12,46.0,46.0,34.666666666666664,0,41
sex,40,32.0,37.0,36.333333333333336,0,42
deputy,41,31.0,39.0,37.0,0,43
disabled,43,30.0,41.0,38.0,0,44
exp_parapente,44,35.0,40.0,39.666666666666664,0,45
