feature,importance,rank
bconly,38.26209807641077,1
exp_route1,7.4194098076753425,2
myear,6.855676507457078,3
exp_camps,5.831230889172778,4
nottobc,5.099615130151244,5
hired,4.362087307296957,6
peak_prev_summit_rate,4.330504188292828,7
exp_nation,3.7728740767141615,8
peak_heightm,3.5982300138421146,9
exp_rope,2.405294786153514,10
status,2.068227560672067,11
citizen_clean,1.7788968605947537,12
mseason,1.5978662530990586,13
occupation_group,1.4582054907534792,14
peak_himal,1.4031032568306545,15
exp_tothired,1.16221829261931,16
peak_prev_death_rate,1.1534107027708278,17
ref_n_refs,1.127224409103307,18
age_clean,1.000300437307214,19
age_missing_flag,0.850229827236384,20
ref_pubyear_min,0.8019376798820509,21
ref_n_unique_types,0.7412149277803218,22
exp_totmembers,0.4990622926803492,23
ref_pubyear_max,0.29131413464720074,24
exp_host,0.2805908478160637,25
peak_pstatus,0.2761535699943341,26
peak_restrict,0.2582282974578421,27
peak_open,0.1903772405189076,28
peak_region,0.187819376512113,29
peak_phost,0.13721264028614968,30
exp_nohired,0.1311383764368381,31
leader,0.11261053113150582,32
exp_traverse,0.11128225945957364,33
support,0.10678630876958287,34
ref_n_languages,0.0970760804398252,35
sherpa,0.07123229224062821,36
occupation_missing_flag,0.06706913311787852,37
exp_ski,0.05855979512310204,38
peak_trekking,0.024450139347251775,39
sex,0.01918020220462227,40
deputy,0.0,41
tibetan,0.0,42
disabled,0.0,43
exp_parapente,0.0,44
age_out_of_range_flag,0.0,45
