feature,importance,rank
bconly_True,8.36923889934032,1
nottobc_True,6.201134900319482,2
support_True,4.5215828778596405,3
exp_rope_235.0,4.509266844685311,4
peak_restrict_Peak entirely within China,4.3378627582753575,5
peak_pstatus_Unclimbed,4.245745672120526,6
exp_rope_2250.0,3.8011974220999343,7
exp_rope_6000.0,3.6975808614122587,8
peak_phost_China only,3.682327716741204,9
exp_rope_5500.0,3.112378835696905,10
exp_rope_1550.0,2.852232318565259,11
exp_rope_5700.0,2.8382779299447622,12
exp_rope_1127.0,2.6259669711100067,13
exp_rope_3400.0,2.4771652166706737,14
exp_rope_350.0,2.4207074663466788,15
exp_rope_5600.0,2.3770795326831777,16
exp_rope_3100.0,2.2241871934763906,17
exp_rope_130.0,2.205710623408711,18
exp_rope_3625.0,2.0771338843442813,19
exp_rope_1260.0,2.0444794253699214,20
exp_rope_1067.0,1.8952646018826673,21
exp_rope_3600.0,1.8882635059902015,22
exp_rope_1599.0,1.7802581771107469,23
exp_rope_457.0,1.7418608122951873,24
exp_rope_1010.0,1.6420962616773789,25
exp_rope_7900.0,1.5891345563798702,26
exp_rope_3200.0,1.5547449712364434,27
exp_rope_7500.0,1.5247161118109789,28
exp_rope_2900.0,1.4708775783075392,29
peak_restrict_Opened in 2014 (as Khang Karpo),1.4649657548698019,30
peak_restrict_Opened in 1997; converted to trekking peak in 2002,1.3798577804221488,31
peak_restrict_Converted to trekking peak in 2002,1.3782464363960918,32
exp_rope_45.0,1.3672521411138634,33
exp_rope_10.0,1.365476999749858,34
exp_rope_2200.0,1.3505317264400896,35
exp_rope_73.0,1.3383267626914195,36
exp_rope_650.0,1.318666624859193,37
peak_open_False,1.2922824343279666,38
exp_rope_4800.0,1.2705422865679878,39
exp_rope_420.0,1.2086912163989871,40
exp_rope_40.0,1.154258017394737,41
exp_rope_1450.0,1.15369783341394,42
exp_rope_3300.0,1.13787340194057,43
peak_restrict_One permit for Churen Himal's three summits,1.134536728337238,44
exp_rope_1700.0,1.131015266030266,45
exp_rope_4700.0,1.1177024150630892,46
exp_rope_7600.0,1.0927763014360168,47
