feature,importance,rank
peak_prev_summit_rate,0.12101850743874007,1
myear,0.07499060155000863,2
hired_True,0.06137272797880782,3
sherpa_True,0.05438617286455538,4
hired_False,0.05222855580004735,5
peak_prev_death_rate,0.049196245184483754,6
exp_camps,0.048913042117343666,7
bconly_True,0.04821403128348512,8
peak_heightm,0.04237372257995021,9
sherpa_False,0.042115467958676794,10
bconly_False,0.042046495056399194,11
occupation_missing_flag_False,0.02360938174652659,12
occupation_missing_flag_True,0.023338043865259606,13
occupation_group_unknown,0.021482057362258646,14
ref_pubyear_min,0.021442513214784912,15
peak_himal_Khumbu,0.01994282373820998,16
age_clean,0.01980749980953335,17
exp_tothired,0.019760131405254688,18
ref_pubyear_max,0.018918854987457587,19
exp_totmembers,0.013854117336112848,20
peak_region_Khumbu-Rolwaling-Makalu,0.012657809942403966,21
ref_n_unique_types,0.0117325334506842,22
ref_n_refs,0.01116236817486134,23
age_missing_flag_False,0.008826672429618541,24
age_missing_flag_True,0.00865605329816369,25
mseason_Spring,0.007825619275869132,26
peak_himal_Annapurna,0.007070914183319074,27
nottobc_False,0.006860724971664373,28
mseason_Autumn,0.005706363544292543,29
occupation_group_guide_instructor,0.005578233692767067,30
peak_phost_Nepal & China,0.005541413454543686,31
nottobc_True,0.004872983266810122,32
peak_phost_Nepal only,0.0046263489970527335,33
tibetan_True,0.004003770697843784,34
ref_n_languages,0.003813629522282684,35
exp_nohired_True,0.0036985174477570586,36
tibetan_False,0.003578850164313924,37
exp_nohired_False,0.0035739936931727238,38
exp_host_China,0.003141738878160702,39
peak_open_False,0.002873014268251745,40
occupation_group_other,0.0026342127682496223,41
exp_host_Nepal,0.00261204628355287,42
peak_region_Annapurna-Damodar-Peri,0.002519919116142002,43
peak_open_True,0.002308796176784225,44
exp_rope_0.0,0.00221017597970576,45
leader_False,0.0020487388923113117,46
exp_traverse_False,0.0019561025671412037,47
leader_True,0.001938127580928339,48
exp_traverse_True,0.0017524401260508816,49
peak_region_Manaslu-Ganesh,0.0015757568909485625,50
occupation_group_doctor_health,0.0014303534525260148,51
peak_trekking_False,0.001420339429316818,52
peak_region_Kangchenjunga-Janak,0.0013919616422199046,53
occupation_group_climber_alpinist,0.0013366359056556927,54
peak_himal_Manaslu/Mansiri,0.0012909523486357949,55
peak_trekking_True,0.0012626194713167996,56
peak_himal_Makalu,0.0012337390767270424,57
peak_himal_Dhaulagiri,0.001226258876071422,58
peak_himal_Kangchenjunga/Simhalila,0.0011529390660826788,59
age_out_of_range_flag_True,0.0010332801633735362,60
peak_region_Dhaulagiri-Mukut,0.0009254020680268065,61
age_out_of_range_flag_False,0.0009218790141605646,62
peak_himal_Damodar,0.0008633874753604982,63
mseason_Winter,0.0008167479946502468,64
peak_pstatus_Climbed,0.0007625438606240625,65
peak_restrict_Opened in 2014,0.0006887412605482712,66
peak_restrict_Opened in 2002,0.0006689549353580032,67
exp_ski_False,0.0006422133562986669,68
peak_phost_Nepal & India,0.0006354873030383183,69
exp_ski_True,0.0006319355363848783,70
sex_F,0.0006245729272646096,71
occupation_group_engineer,0.0006185352406686455,72
peak_pstatus_Unclimbed,0.0006103423775737649,73
sex_M,0.0006063930108995682,74
occupation_group_business_exec,0.0005911958784135947,75
peak_himal_Rolwaling,0.00047889348026491257,76
exp_host_India,0.0004765417196882655,77
peak_himal_Peri,0.0004277442501642497,78
peak_himal_Mukut/Mustang,0.00040947856359103014,79
support_False,0.0004089552897028513,80
exp_rope_500.0,0.00036602718492955073,81
occupation_group_media_photo,0.0003374199982364954,82
occupation_group_military_police,0.0003137169223579881,83
peak_region_Langtang-Jugal,0.0002867493101798882,84
mseason_Summer,0.0002819995199705083,85
peak_restrict_Opened in 2003,0.00027802159377557053,86
peak_region_Kanjiroba-Far West,0.00027306764280076937,87
