occupation_group,n,summit_rate,death_rate
unknown,30739,0.5911382933732392,0.014021275903575263
other,15181,0.29695013503721757,0.013635465384362031
guide_instructor,9633,0.40548115851759575,0.009550503477628983
business_exec,8445,0.3474245115452931,0.008999407933688574
engineer,6083,0.3003452243958573,0.01693243465395364
doctor_health,4138,0.24794586756887385,0.010391493475108747
trades_manual,3416,0.28747072599531615,0.014929742388758781
scientist_academic,3088,0.29371761658031087,0.013924870466321243
student,2591,0.3257429563874952,0.01659590891547665
military_police,2008,0.3152390438247012,0.01195219123505976
climber_alpinist,1889,0.4113287453679195,0.014293276866066702
media_photo,1789,0.23141419787590833,0.010061486864169928
