feature,importance_mean,importance_std,rank,model
hired,0.0445309426654221,0.00120708854927982,1,catboost
citizen_clean,0.014741817698515736,0.0006818778394956234,2,catboost
age_clean,0.011426578873278826,0.0006708615772666816,3,catboost
mseason,0.011058272761573507,0.0015416706356001615,4,catboost
status,0.01105204002300424,0.0004017346317048539,5,catboost
bconly,0.01103047802045375,0.0006482707948697533,6,catboost
exp_route1,0.009955131397299566,0.002139977629853197,7,catboost
exp_camps,0.009870172980551794,0.0011223292183309772,8,catboost
exp_nation,0.007207169613094222,0.0016383290800744093,9,catboost
peak_prev_death_rate,0.0042318018085898855,0.00021925590525731753,10,catboost
peak_himal,0.003192684757119213,0.0006825674383750748,11,catboost
occupation_group,0.0025307177603237307,0.0005783439378402965,12,catboost
exp_tothired,0.0024834332599278585,0.0004594837098180443,13,catboost
nottobc,0.002473856472126301,0.0005976675722181659,14,catboost
exp_host,0.0011528894328542538,0.000156060165639017,15,catboost
exp_totmembers,0.0007892045125880931,0.00016134053492743958,16,catboost
peak_pstatus,0.0006870527022870276,9.182763755636205e-05,17,catboost
sherpa,0.0005431305153244303,4.2210730135142624e-05,18,catboost
leader,0.0004366421135188148,0.00010976605304670331,19,catboost
exp_rope,0.0004362579036070069,0.00022189850316805293,20,catboost
ref_pubyear_min,0.0003271529611520663,5.6113123227942976e-05,21,catboost
ref_pubyear_max,0.0003142997166025063,3.1200411784465e-05,22,catboost
sex,0.00013889544061655988,2.3852759042601255e-05,23,catboost
peak_phost,0.00012728732078118866,9.978477268504444e-05,24,catboost
age_missing_flag,0.00012280131431097185,9.086251027943309e-05,25,catboost
exp_ski,6.854233676610866e-05,7.060344451439428e-05,26,catboost
occupation_missing_flag,6.111249972159393e-05,4.614560946378857e-05,27,catboost
support,2.886376962435433e-05,2.5552624210323765e-05,28,catboost
exp_traverse,2.6503368916142023e-05,2.050861716564811e-05,29,catboost
peak_open,2.483134429998035e-05,0.00011549232428747266,30,catboost
age_out_of_range_flag,0.0,0.0,31,catboost
exp_parapente,0.0,0.0,32,catboost
disabled,0.0,0.0,33,catboost
tibetan,0.0,0.0,34,catboost
myear,0.0,0.0,35,catboost
deputy,0.0,0.0,36,catboost
peak_restrict,-1.7586497213040174e-05,8.662204614148886e-05,37,catboost
peak_trekking,-2.928355452793685e-05,1.1013830316476684e-05,38,catboost
exp_nohired,-5.0048677261327335e-05,2.0756050637132778e-05,39,catboost
ref_n_unique_types,-0.0001645432309791195,7.796827002058262e-05,40,catboost
ref_n_languages,-0.00016839956009386813,2.991741123518251e-05,41,catboost
ref_n_refs,-0.0007865292732022189,0.0006549872291140617,42,catboost
peak_region,-0.0009953135640257903,0.00018055779449539883,43,catboost
peak_heightm,-0.002372078199239436,0.0006769704434770474,44,catboost
peak_prev_summit_rate,-0.00667002281139627,0.0005047814558681997,45,catboost
