feature,mean_abs_shap
exp_tothired,1.0690948594725789
myear,0.7475764481625965
exp_totmembers,0.5215255736077801
exp_nation,0.3851949399794463
citizen_clean,0.32319688143690845
mseason,0.2912060346145749
peak_prev_summit_rate,0.2869685295347074
peak_prev_death_rate,0.27733935437648366
occupation_group,0.2617969073248891
peak_heightm,0.2580698124036758
exp_route1,0.2021718305830387
occupation_missing_flag,0.19663558890882388
exp_rope,0.18748513332093458
ref_n_unique_types,0.1623894048459626
occupation_raw_clean,0.1418832886148663
ref_pubyear_max,0.13868936160257153
residence_clean,0.13187275283681016
hired,0.11677510436344293
sherpa,0.1023556221078661
age_clean,0.10051603310668172
ref_n_refs,0.09621720458866104
status,0.09193025115052922
exp_host,0.08468949453341235
peakid,0.0780688486599078
sex,0.07605192491986014
exp_camps,0.06863479695715759
peak_region,0.0664120941547501
exp_nohired,0.0640925502170711
peak_restrict,0.061408349746750905
peak_phost,0.06070871855801421
peak_pkname,0.058540489863155076
ref_n_languages,0.0526993621879993
peak_himal,0.05187339530754963
exp_ski,0.04617854720417938
ref_pubyear_min,0.04498303163503818
leader,0.022022142120389575
age_missing_flag,0.016631461657380348
exp_traverse,0.0030371757215317046
peak_open,0.002304636826217322
disabled,0.0007401156571168858
exp_parapente,0.000532296199798862
age_out_of_range_flag,0.00047953655267701686
peak_trekking,0.00018137058808439472
peak_pstatus,1.4032690321599004e-06
bconly,0.0
support,0.0
tibetan,0.0
nottobc,0.0
deputy,0.0
