occupation_raw_clean,n,summit_rate,death_rate
consultant,94,0.5319148936170213,0.0
professional alpinist,172,0.4883720930232558,0.01744186046511628
manager,135,0.4740740740740741,0.0
alpinist,907,0.4564498346196251,0.015435501653803748
pilot,87,0.4367816091954023,0.011494252873563218
alpine guide,6298,0.42584947602413464,0.008097808828199429
sports instructor,88,0.3977272727272727,0.022727272727272728
software engineer,121,0.39669421487603307,0.024793388429752067
businessman,384,0.3932291666666667,0.010416666666666666
alpine instructor,404,0.3886138613861386,0.01485148514851485
student,1074,0.37337057728119183,0.010242085661080074
builder,109,0.3669724770642202,0.01834862385321101
expedition leader,99,0.36363636363636365,0.0
veterinarian,80,0.3625,0.0
banker,196,0.35714285714285715,0.015306122448979591
management consultant,101,0.3465346534653465,0.009900990099009901
psychologist,81,0.345679012345679,0.0
gardener,82,0.34146341463414637,0.0
economist,203,0.3399014778325123,0.009852216748768473
housewife,237,0.33755274261603374,0.016877637130801686
engineer,1628,0.33722358722358725,0.014742014742014743
computer engineer,158,0.33544303797468356,0.012658227848101266
police officer,221,0.334841628959276,0.013574660633484163
carpenter,378,0.3333333333333333,0.010582010582010581
construction worker,105,0.3333333333333333,0.0
attorney,612,0.33169934640522875,0.00980392156862745
accountant,218,0.3302752293577982,0.009174311926605505
university student,159,0.3270440251572327,0.012578616352201259
architect,346,0.3236994219653179,0.008670520231213872
civil servant,158,0.31645569620253167,0.012658227848101266
teacher,683,0.3162518301610542,0.010248901903367497
construction engineer,99,0.31313131313131315,0.0
travel agent,103,0.3106796116504854,0.009708737864077669
dentist,194,0.30927835051546393,0.020618556701030927
electrical engineer,372,0.3064516129032258,0.024193548387096774
truck driver,105,0.3047619047619048,0.009523809523809525
electrician,372,0.30376344086021506,0.013440860215053764
physiotherapist,180,0.3,0.011111111111111112
civil engineer,361,0.29916897506925205,0.008310249307479225
farmer,204,0.28921568627450983,0.014705882352941176
technician,354,0.288135593220339,0.022598870056497175
biologist,88,0.2840909090909091,0.011363636363636364
plumber,81,0.2839506172839506,0.0
chemical engineer,113,0.2831858407079646,0.035398230088495575
nurse,347,0.2824207492795389,0.0
pharmacist,107,0.2803738317757009,0.018691588785046728
office worker,362,0.27624309392265195,0.008287292817679558
retired,196,0.2755102040816326,0.0
film-maker,106,0.27358490566037735,0.0
geologist,267,0.27340823970037453,0.011235955056179775
alpine guide ski instructor,121,0.2727272727272727,0.0
firefighter,294,0.272108843537415,0.003401360544217687
ski instructor,188,0.2712765957446808,0.005319148936170213
mechanical engineer,389,0.2699228791773779,0.02056555269922879
photographer,427,0.2693208430913349,0.00468384074941452
salesman,135,0.26666666666666666,0.02962962962962963
high school teacher,96,0.2604166666666667,0.020833333333333332
computer programmer,167,0.25748502994011974,0.029940119760479042
electronics engineer,168,0.25595238095238093,0.023809523809523808
physicist,132,0.25,0.030303030303030304
physician,2360,0.24491525423728813,0.011016949152542373
journalist,226,0.2345132743362832,0.004424778761061947
mechanic,213,0.2300469483568075,0.014084507042253521
shopkeeper,91,0.21978021978021978,0.0
medical student,89,0.21348314606741572,0.011235955056179775
cameraman,283,0.20141342756183744,0.007067137809187279
bank employee,103,0.1941747572815534,0.0
surgeon,150,0.19333333333333333,0.013333333333333334
clerk,106,0.18867924528301888,0.0
secretary,115,0.1565217391304348,0.017391304347826087
